
g order9
0.400000 0.422793
0.600000 0.684137
0.800000 1.029639
1.000000 1.557408
1.200000 2.572152
1.400000 5.797884
1.600000 -10.000000
1.800000 -4.286262
2.000000 -2.185040
2.200000 -1.373823
2.400000 -0.916014
2.600000 -0.601597
2.800000 -0.355530
3.000000 -0.142547
3.200000 0.058474
3.400000 0.264317
3.600000 0.493467
3.800000 0.773556
4.000000 1.157821
4.200000 1.777780
4.400000 3.096324
4.600000 8.860175
4.800000 -10.000000
5.000000 -3.380515
5.200000 -1.885642
5.400000 -1.217541
5.600000 -0.813943
5.800000 -0.524666
6.000000 -0.291006
6.200000 -0.083378
6.400000 0.117349
6.600000 0.327858
6.800000 0.568340
7.000000 0.871448
7.200000 1.304621
7.400000 2.049284
7.600000 3.852266
7.800000 10.000000
8.000000 -6.799711
8.200000 -2.773749
8.400000 -1.645711
8.600000 -1.082032
8.800000 -0.721147
9.000000 -0.452316
9.200000 -0.228642
9.400000 -0.024783
9.600000 0.177038
9.800000 0.393883
